Jangan pakai tema wong cilik lagi min.. trauma masyarakat 9 tahun dengan kata² itu..,Satire
"Kalo dibalik lebih masuk akal ga sih, Pa Mahfud Calon presiden, Ganjar Calon Wakil",Netral
Bongkar skandal 349T nggak berani,Satire
Saya eneg kalau denger Pedeipeh ngomong wong cilik...🤮,Satire
"Wong cilik terus yg dijual, ingat maling bansos wong cilik itu kader banteng",Satire
mhn maaf pak Mahfud ... sy jd tdk yakin dg anda stlh maju melalui partai ini,Negatif
"Kalau emang pendekar hukum, apakabar Kanjuruhan? Apakabar Rempang?",Satire
"Kalo ngomong sih meyakinkan, tapi nggak ada yg beres... Semuanya nanggung... Gimana pak 349 T nya, rakyat nunggu buat dibeliin beras...",Satire
"Lebih bisa dicerna kalau kalimat pembela wong cilik"" dihilangkan. Karena Wadas, Rempang, dan lainnya beliau tdk bersuara.""",Satire
Banyak kasus yg besar tapi banyak juga yg lolos itu artinya blum bisa disebut pendekar Seperti kanjuruhan.wadas.km50 dll,Satire
Aku gak sukak lidahnya suka tebalik balik.,Netral
"Wong cilik lagi wong cilik lagi...,  Wong cilik hanya jdi umpan,,,   Wong cilik hanya jdi alasan,,,  Wong cilik hanya jd selogan,,,  Wong cilik diucapkan ketika datang pemilihan,,,   Wong CILIK jd korban wong LICIK",Satire
"Dunia hanyalah ladang untuk menuju keabadian, dunia juga panggung sandiwara, kelak bila mndapatkn amanah dri rakyat smg sllu ingt akan akhirat, semua akan di pertanggung jawabkn.",Netral
Yg pasti katakan tidak untuk banteng,Negatif
"Sekaliber apapun level, karier yg mentereng dan kecerdasan yg brilian jk masuk kandang banteng ttp SJ itu semua tak berharga sbb yg tertinggi itu titah ketum. Aturannya semua kader harus taat dan patuh PD partai, dan partai tdk bertentangan dg ketum. Kacian mang apud",Satire
Antek antek...,Negatif
Kalau sudah tau kualitas seorang prof Mahmud kenapa 2019 kemarin beliau di-PHP-in? jujur pada sendiri lebih penting daripada terus menerus menjalani hidup dengan penuh kebohongan,Netral
"4 tahun jadi MenkoPolHuKam...hasilnya Kanjuruhan, skandal 300an T di kemenkeu menguap, UU Cilaka, UU KPK, hukum tumpul keAtas sangat tajam ke bawah dan Lawan....",Satire
Simencla mencle,Negatif
"Dulu iya sblm msk istana (idialis n nasionalis), tp skrng stlh msk istana udah terkontaminasi dan beringkarnasi jd iblis (itu cak mpud sendiri yg mengakui loo.....",Satire
Jargon andalan..wong cilik..berbeda sma knyataan.mngkin rakyat bisa mnilai sndri dah,Satire
"2 periode dah cukuplahh ojo kemarukk rrukkk..kan katanya gak haus kekuasaan ..lagian rakyat udh ngerasain kok slma 10thn ,cukupp sudah!!",Satire
Klo mau kritik di pemerintahan skrng ini ya ada di partai siapa ya blunder dh mau kritik hihihi,Netral
"Sosok pak Mahfud MD mah seluruh indonesia udah pd tau baik kualitas,kredibilitas dan integritas nya...Bahkan maaf ya wapres nya lebih kelas dan keren dr capres nya klo dilihat dr sisi itu kecuali dr sisi kepartaian.min",Satire
"Kasus Rempang Wadas Omnibus law koq dia ga belain rakyat, Jangan asal klaim sebagai pembela rakyat, malu kalian",Satire
kasihan mahfud biar segudang kepintaran &amp  pengalaman tetap di bawah perintah ganjar yg segalanya di bawah mahfud,Netral
"Mau profesor,  ahlinya ahli, atau apapun itu, kalo udah ikut redbull, tetep akan tunduk sama emak banteng.",Satire
Malaikat sekalipun klu masuk kedlm sistem politik kita akan jadi iblis.kata si mfud #azazil,Satire
"Kasihan akhirnya jd cawapres jg, itu kemejanya yg waktu mau jd cawapres pak Dhe' udah diambil belum  ... 😁😆",Satire
siap jadi pajangan seperti mbah amien.. presidennya siap jadi boneka seperti sebelumnya .. boneka lht &amp  si jinping.,Satire
lanjutkan pak Mahfud bersama pak ganjar yg tidak punya beban masalalu..Anda terbukti bersih dan bijaksana.untuk Indonesia lebih cepat bergerak maju..,Positif
"mahfud pendukung omnibuslaw ciptaker, gak bakal saya dukung, meskipun suara saya di tps cuma satu",Satire
"Pembela wong cilik, cuman jargon mu min, aslinya mana pernah ngebelain wong cilik!!!!!",Satire
"Rakyat yg menilai, dan nilai nya adalah negatif",Negatif
Tolong tnyain min gmn dgn duit 349T di kemengkau sm mahfud Md apa sdh di ungkap siapa pemiliknya...???,Satire
"ada benarnya juga sih sehebat apapun orangnya, bahkan sebersih malaikat. kalau di belakangnya PDIP yang mengendalikan, negri konaha ini akan tetap barbar. contoh jokowi, JK, ma'rup amin hanya boneka saja.",Satire
"Harus mundur dulu dr jabatan mentri, biar fair berkompetisi.. Baru itu namanya pendekar",Netral
Pak mahfut lebih pantes dan baik apabila diluar lingkaran kekuasaan. Kayak dulu waktu di MK,Netral
"Saya cuma berharap mudah-mudahan p mahfud tdk tergoda ikut-ikutan nonton film porno, malu rasanya kl punya pemimpin seperti itu",Negatif
Jikalau benar seorang pendekar hukum harusnya selama menjabat bisa beliau buktikan,Netral
Wong cilik???????? Siapa itu?????? Aaaah sudahlah pemilu sudah dekat sepertinya,Satire
